21117 HC HEPATO GASTRO ENTERO E4;G3416;A2619 CS PNEUMOLOGIE-INFECTIOLOGIE
21121 HS UROLOGIE V 1;G3417 Angiologie;A2621 HOSP. INFECTIEUX
21122 HC UROLOGIE V 1;G3421 CS Gynécologique;A2622 HOSP. DE JOUR INFECTIEUX
21124 HC MEDECINE INTERNE O3;G3422 CS Obstétrique;A2629 CONSULT INFECTIEUX
21125 HS MEDECINE INTERNE O4;G3423 CS Pédiatrique;A2639 COORDINATION EN CANCEROLOGIE (3C)
21130 UPC U. PSYCHIATRIQUE DE CRISE M1;G3424 CS Eco Obstétrique;A2669 DEPISTAGE ANONYME (CDAG)
21132 HC URGENCE MEDICALE N 1;G3425 CS Planning Faminial;A2711 HOSPITALISATION DÉPARTEMENT MÉDECINE SUD
21134 HC REANIMATION MIR PAV H2 ETG;G3426 HJ orthogenie;A2712 AGDUC
21136 CS CENTRE DROIT ETHIQUE SANTE;G3431 CS Ophtalmologie;A2713 HOSPITALISATION DÉPARTEMENT MÉDECINE NORD
21140 ACCUEIL PRELEVEMENT lbmms;G3432 CS ORL;A2714 HJ (3EME ETAGE)
21149 HC REA SOINS INTENSIFS BRULES I;G3433 CS Odontologie;A2719 CS DEPARTEMENT DE MEDECINE
21152 HC ORTHOPEDIE T3;G3434 CS Chir Viscérale;A2811 HOSP DERMATOLOGIE
21156 HC ORL PAV E2;G3435 CS Chir Orthopédie;A2812 HJ DERMATOLOGIE
21159 HJ NEPHROLOGIE ADULTES P S SOL;G3436 CS Chir Urologie;A2819 CS DERMATOLOGIE
21161 HC ORTHOPEDIE PAV E2 RDC;G3437 CS Chir Générale;A2909 CONS. PROGRAMMÉES CHIR. INF.
21163 HC ORTHOPEDIE PAV U4;G3438 CS Chir Vasculaire;A2919 CS DE L'ENFANT
21164 HC URGENCES CHIR ORTHO G;G3439 CS Chir Dentaire;A2929 AU PEDIATRIQUES
21169 HC URGENCE CHIR VISCERALE G;G3442 CS Ergothérapie;A2969 ACCUEIL DES MINEURS VICTIMES
21171 HC CHIRURGIE VASCULAIRE M;G3443 CS de Diététique;A2970 UNITE KANGOUROU
21173 HS UROLOGIE HOSP SEMAINE V1;G3463 CS Médecine Interne;A2971 HOSP PEDIATRIE (MEDICALE)
21175 SOINS MED ET CHIR BRULES I;G3471 CS Urgence;A2972 HOSP CHIR. INFANTILE  PEDIATRIE
21176 HC NEPHROLOGIE P1;G5000 EHPAD Secteur A;A2973 HOSP NEONATOLOGIE
21177 SA HJ HEMODIALYSES ADULTES P3;G5001 EHPAD Secteur B;A2975 HJ MEDECINE
21179 HJ DERMATO CLIMA R1;G5002 EHPAD Secteur C;A2976 HJ CHIRURGIE
21180 HS SIPPO P;G5003 EHPAD Secteur D;A2977 SOINS INTENSIFS NEONATOLOGIE
21183 HJ HEMATO HJ E5;G5004 EHPAD Plateau 1;A2978 ZSTCD PEDIATRIE
21185 HS HOSP SEMAINE NEPHROLOGIE P1;G5005 EHPAD Plateau 2;A2979 BIBERONNERIE
21187 HC P REANIMATION;G5007 UHR / UHA;A2980 SURVEILLANCE CONTINUE PED
21189 HJ DIALYSES PERITONEALES P SSOL;G7109 BM Bat A RdC;A3511 HOSP  OPHTALMOLOGIE
21191 HC SOINS INTENSIFS TRANSPLANT PAV P;G7110 BM Bat A1;A3519 CS PROGRAMMEES OPHTALMOLOGIE
21192 HC TRANSPLANT PAV P;G7111 BM Bat B RdC;A3529 CS URGENTES OPHTALMOLOGIE
21194 HC REANIMATION CHIR PAV H RDC;G7112 BM Bat B1;A3611 MEDECINE POLYVALENTE
21195 UNITE DE POST URGENCES MEDICALE;G9303 Ehpad 1er étage;A3712 HOSP  CHIRURGIE AMBULATOIRE (UCA)
21198 HC TRAUMATO CHIR REPARATRICE M2;G9304 Ehpad 2èm étage;A3810 SALON D'ACCUEIL CHIRURGIE
21199 HJ MEDECINE HYPERBARE;G9305 Ehpad 3èm étage;A3811 HS DE CHIRURGIE
21200 HJOUR HGE PAV E3 UJED E1;CDP ADOMA GIVORS;A3812 HOSP. SEMAINE CHIRURGIE
21206 SO BANQUE DE CORNEES I;;A3813 HOSPITALISATION CHIRURGIE 3ÈME ÉTAGE
21210 CS D URGENCE BRULES I;;A3814 HOSPITALISATION CHIRURGIE 4ÈME ÉTAGE
21212 HJ IMMUNO INFECTIOLOGIE;;A3815 HOSPITALISATION CHIRURGIE 5ÈME ÉTAGE
21213 HJ ONCOLOGIE;;A3911 HOSP NEUROCHIRURGIE
21214 HJ CHIMIO ONCO MED E1;;A3919 CS NEUROCHIRURGIE
21216 HJ EXPLO DIAG P2;;A4011 HOSP UROLOGIE
21217 HJ URG ONCO MED PAV E3 ETAGE 1;;A4019 CS UROLOGIE
21219 HS ORL. U2;;A4111 HOSP CHIRURGIE VISCERALE
21220 HJ ONCO RHUMATO;;A4115 STOMATHERAPIE
21221 HC CHIR HEPATO BILIO PANCREATIQUE D2;;A4119 CS CHIRURGIE VISCERALE
21224 HC CHIR DU TUBE DIGESTIF ET BARIATRIQUE D4;;A4211 HOSP CHIR. ORTHOP. TRAUMATOLOGIE
21226 HJ ONCO UROLOGIE;;A4219 CS CHIR. ORTHOP. ET TRAUMATOLOGIE
21227 HC CHIRURGIE DIGESTIVE D3;;A4229 CS ORTHOPEDIE-TRAUMATO. DU SPORT
21230 HC HGE L RDC;;A4312 HOSP ORL - CHIR. CERVICO-FACIALE
21233 CS EXPLO FONCT RENALES PAV R;;A4319 CS PROGRAMMEES O.R.L.
21241 CHIR URGENCE PAV H3 ETG;;A4349 CS URGENTES O.R.L.
21242 HC UNITE PRE BLOC CONVENTIONNEL PAV H 3 ETG;;A4412 HOSP  MERE ENFANT (MATERNITE)
21244 HJ IMMUNO INFECTIOLOGIE;;A4414 HOSP GROSSESSE PATHOLOGIQUE
21245 HC RHUMATOLOGIE F1;;A4414 HOSP JOUR GYNECO OBS
21246 UHCD;;A4419 CS GYNECO-OBSTETRIQUE (RDC)
21249 HJ EXPLO FONCT RENALES PAV R;;A4421 HOSP  CHIRURGIE GYNECOLOGIQUE
21250 MT CHIRURGIE REFRACTIVE C;;A4422 HOSP ORTHOGENIE (UF FACTURATION)
21252 HJ HOSP JOUR ONCO ORL;;A4423 BLOC OP. GYNECO-OBSTETRIQUE
21254 CS ONCOLOGIE E1;;A4425 SALLES DE NAISSANCE (RDC)
21257 MT ASTREINTE COMMUNE HCL ENDO DIGESTIVE;;A4439 CS PLANIFICATION ET ORTHOGENIE
21265 RM DUCLUZEAU AO HCL 2003;;A4441 ZSTCD GYNECO-OBSTETRIQUE
21266 HC USC MIR PAV H2 ETG;;A4492 MOUVEMENTS NOUVEAUX NES
21267 RM LESCA AO HCL 2003;;A4499 URGENCES GYNECO-OBSTETRIQUE
21268 CS EXTERNE D'ADDICTOLOGIE;;A4511 HOSP  REANIMATION POLYVALENTE
21273 RM PONCHON PHRC REG 2001;;A4512 COORD. PRELEVEMENTS ET GREFFES
21274 HJ TOXINE BOTULIQUE U;;A4513 UNITE DE SURVEILLANCE CONTINUE
21275 HS CHIRURGIE DIGESTIVE V2;;A4611 ACCUEIL URGENCES
21276 RM BRAYE PHRC REG 2001;;A4612 UNITE D'HOSP COURTE DUREE
21277 UNITE DE POST URGENCES MEDICALE M1;;A4613 SURVEILLANCE TRES COURTE DUREE
21278 RM D03174 DUPUIS MINISTERE RECHERCHE;;A4616 PASS
21279 RM D02797 MOULSMA CHU DE POITIER;;A4618 SOINS RAPPROCHES
21281 RM DESPORTES PHRC REG 2003;;A4655 CELLULE COVID
21284 RM DUMONTET PHRC NAT 06;;A4711 ANESTHESIOLOGIE
21285 RM ROUSSET PHRC NAT 2006;;A4719 CS ANESTHESIOLOGIE
21286 RM BILLOTEY PHRC INTERREGIONAL 2006;;A4721 UNITE DE LUTTE CONTRE LA DOULEUR
21287 RM VINCIGUERRA PHRC HURIET D03636;;A4811 SOINS SUITE ET READAPT POLYVALENT
21288 PROTOCOLES HEH;;A4911 HOSP  U.S.2A. SSR
21289 RM CTRE DE RESSOURCE BIOLOGIE AUX PATHO VIR;;A4912 HJ U.S.2A.
21290 RM LOI HURIET;;A4913 HOSP  U.S.2A. MCO
21291 RM CONTRAT DE RECHERCHE;;A4919 CS U.S.2A.
21292 HC SCD GERIATRIQUE K2;;A4929 CS TABACOLOGIE
21293 CS EQUIPES MOBILES DE GERIATRIE;;A4979 LIAISON ET SOINS EN ADDICTOLOGIE
21294 UHCD PAV M;;A5111 HOSP SOINS SUITE-READAPT GERIATRIE
21297 HJ MEDECINE INTERNE O1;;A5112 HJ SOINS SUITE- READAPT GERIATRIE
21299 CA ACHA HGE L1;;A5211 RADIOLOGIE -  ECHO - DOPPLER
21300 RM EUVRARD PHRC 2003 NATIONAL;;A5212 SERVICE DE TRANSPORT DES PATIENTS
21301 SALON ACCUEIL PAV H ETAGE 1;;A5221 SCANNER
21302 RM CT D04546 STEGHENS BELLCO SOLUDIA;;A5313 MEDECINE NUCLEAIRE
21303 BM PHARMACO TOXICO ELEMENTS TRACES;;A5322 HJ MEDECINE NUCLEAIRE
21304 MT OSTEODENSITOMETRIE;;A5511 LABORATOIRE BIOLOGIE MEDICALE
21306 HJ ONCO ENDOCRINO;;A5611 LABORATOIRE DE BIOCHIMIE
21309 CS ONCOLOGIE MED L SSOL;;A5631 CHDV - Chagall
21310 RM LINA STIC 06 HORS CHAMP CANCER;;A5711 SERVICE D'ANATOMO-CYTOPATHOLOGIE
21311 RM BONNET FABRICE PHRC REG 2004;;A5916 REA BLOC OPERATOIRE
21312 RM CALENDER ALAIN PHRC REG 2004;;A6011 HJ GERIATRIE
21313 CS C REF DYSPLASIES OSSEUSES;;A6013 HOSP SOINS PALLIATIFS GERIATRIE
21314 RM DUBERNARD JM PHRC NAT 2004;;A6014 HOSP COURT SEJOUR GERIATRIQUE
21315 RM RANCHIN STIC 06 HORS CHAMP CANCER;;A6016 HOSP MED GERIAT 2
21316 RM LORAS IRENE PHRC NAT 2004;;A6019 CS GERIATRIE (HORS CX MEMOIRE)
21317 RM MION STIC 06 HORS CHAMP CANCER;;A6029 CS MEMOIRE GERIATRIE
21318 RX SCANNER P;;A6079 UNITE MOBILE DE GERIATRIE
21319 RM MARTIN STIC 06 HORS CHAMP CANCER;;A6211 I.R.M.
21320 RM CT D20383 CHIDIAC INVS;;A6511 U.C.S.A.
21321 RM CTD20368STEGHENS ASS PERINATAL ENFANT;;A6711 LABORATOIRE DE CYTOGENETIQUE
21322 RX VASCULAIRE INTERV P;;A6719 CS HOSPITALIERE DE GENETIQUE
21324 MT RADIO PHARMACIE B SOUS SOL;;A7111 EHPAD - BEAUVALLON -
21326 BM PLATEAU COMMUN GENETIQUE DIAGNOSTIC;;A7112 EHPAD - BEAUVALLON - HEB
21328 HS HGE L DRC;;A7113 EHPAD - BEAUVALLON - SOINS
21329 BM PHARMACO SPECIALISEE;;A7114 EHPAD - BEAUVALLON -DEP
21330 RM MATHEVET PATRICE PHRC NAT 2004;;A7311 U.S.L.D ALBIZZIA 2EME ETAGE SOINS
21331 RM PRIETO NATHALIE PHRC NAT 2004;;A7312 U.S.L.D. ALBIZZIA HEB
21332 RM VALETTE PJ PHRC REG 2004;;A7313 U.S.L.D. ALBIZZIA SOINS
21333 RM CT 04599 NEGRIER BAXTER HEALTHCARE CORPO;;A7314 U.S.L.D. ALBIZZIA DEP
21334 RM CT D04604 NEGRIER WYETH PHARMACEUTICALS;;A7315 U.S.L.D ALBIZZIA 3 SOINS
21336 RM VALETTE PIERRE JEAN STIC 2004;;A8001 CHDV - UIRPS
21337 RM PONCHON THIERRY STIC 2004;;A8011 EQUIPE MOBILE SOINS PALLIATIFS
21338 RM LAPALUS PONCHON STIC 2004;;A8013 HOSP SOINS PALLIATIFS
21342 HDJ EXPLO DIGESTIVE;;A8019 CS SOINS PALLIATIFS
21344 RM CT D03410 VALETTE MINISTERE ECONOMIE;;A8111 MAISON MEDICALE
21345 MT CONSO PRODUITS EFS;;DEC LABORATOIRE ADEBIO
21347 RM VANDENESCH FRANCOIS STIC 2004;;BAUM L'ADAPT CMPR LES BAUMES
21348 CS URGENCE OPH C;;EFS ETAB.FRANCAIS DU SANG
21349 RM AO TOURAINE JL LEG JAPON;;AEXT SOINS EXTERNES
21351 RM CT D04816N NEGRIER QUINTILES;;EXTAG SOINS EXTERNES AGDUC
21354 BO BLOC CHIR OPH ET AMBULATOIRE C;;EXTAU SOINS EXTERNES AURAL
21355 RM CT D04745 NEGRIER QUINTILES;;HAD HOSPITALISATION À DOMICILE
21356 HJ IMMUNO CLINIQ RHUMATO CLIMA PAV F;;MDTP DR PYNEEANDEE ANNICK
21357 HC DECHOCAGE REA PAV H RDC;;MONT CH DE MONTELIMAR
21359 RM CHAYVIALLE FREYER AO HCL 05;;MONTB CH MONTÉLIMAR (BACTÉRIO)
21362 BO BLOC URGENCE VISCERALE G;;PLAN PLANNING FAMILIAL
21363 BO SALLE D ABORD VASCULAIRE PAV H RDC;;ROM C.H ROMANS
21366 BO BLOC BRULES I;;
21367 RM CT D20408 NEGRIER BAXTER AG;;
21368 BO BLOC ORTHOPEDIE T;;
21370 RM CT D20342 NEGRIER INVS;;
21371 HS NEPHROLOGIE P2;;
21372 BO BLOC DES GREFFES ET D UROLOGIE V;;
21373 BO BLOC DE PRELEVEMENTS P;;
21374 RM CT D20379 DAMOUR ENGELHARD;;
21375 BO BLOC CHIRURGIE GLE ET DIGESTIVE D;;
21377 RM DELMAS STIC 05 HORS CHAMP CANCER;;
21378 BO BLOC URGENCES PAV H RDC;;
21379 RM BRAYE STIC 05 HORS CHAMP CANCER;;
21380 BO BLOC U;;
21381 BO BLOC LITHOTRITEUR V;;
21382 RM BAUDE STIC 05 HORS CHAMP CANCER;;
21383 RM CT NEGRIER LFFB;;
21384 BO BLOC CHIRURGIE VASCULAIRE;;
21385 HC MEDECINE INTERNE 02;;
21386 RM CT D20506 GUFFON GENZYME SAS;;
21387 BO BLOC TRAUMATO M;;
21389 RX IRM B;;
21390 RM CT D20504 DAMOUR CEA;;
21391 RM CT D20417 DAMOUR CELLSEED;;
21394 RX SCANNER B;;
21395 RX RADIO MOBILE B;;
21396 RM LACHAUX PHRC REG 05;;
21397 BM HISTODYNAMIQUE OSS;;
21400 BM EXPLO DES DYSGLOBULINORACHIES;;
21401 BM BIOCHIMIE URGENCE ET ROUTINE;;
21402 MED POLYVALENTE PAV V2;;
21403 RM MION PHRC REG 05;;
21404 AU SITUATION SANITAIRE EXCEPTIONNELLE;;
21405 BM LABO DE BIOLOGIE ENVIRONNEMENT;;
21406 RM AYARI KHALFALLAH AO HCL 06 JEUNE CHERCH;;
21408 CS POST REANIMATION;;
21409 BM BIOLOGIE ENDOC ONCO METAB OSSEUX;;
21410 BM IMMUNOLOGIE CELLULAIRE;;
21411 UCA CHIRURGIE AMBULATOIRE PAV U;;
21412 CS EDUC THERAP RHUMATO CLIMA R;;
21413 BM HEMATO CELLULAIRE;;
21414 CELLULE URGENCE PARCOURS PERSONNE AGEE;;
21415 BM LABO ANAPAT 10;;
21416 CS CONSULT GENETIQUE CLINIQUE;;
21417 COORDINATION DES PRELEVEMENTS;;
21418 N2 NON COVID;;
21419 BM ONCOGENETIQUE HEH;;
21420 CS ONCOGENETIQUE;;
21422 BM GENETIQUE MALADIES NEUROLOGIQUES;;
21423 CS CENTRE REF APPRENTISSAGE DU LANGAGE;;
21424 HJ ENDOCRINOLOGIE;;
21425 RM SANLAVILLE AO HCL 06 JEUNE CHERCHEUR;;
21427 HC CHIR URGENCE G2;;
21429 BM PATHO MOLECULAIRE DE L HEMOGLOBINE;;
21430 BM CYTOCHIMIES;;
21431 BM TUMEURS GIST MSI EGFR KRAS BIO EMERGENTS;;
21432 CS ONCOGENETIQUE L;;
21433 CS EDUC THERAPUE PREVENANCE;;
21435 SO TUMOROTHEQUE CRB HEH;;
21436 CS CHIR HEPATO BILO PANTRANSPL L;;
21437 BM GENETIQUE MOLECULAIRE E;;
21438 PATHOLOGIE MOLECULAIRES;;
21439 MT EDUCATION THERAPEUTIQ EEG CLIMA R;;
21441 RM DORET AO HCL 2005;;
21442 MT EDUCATION THERAPEUTIQ EXPLO VASCULAIRES;;
21443 RM PILLEUL AO HCL 2005;;
21444 RX SCANNER G;;
21445 RX ECHOGRAPHIE DOPPLER B;;
21446 RM MIOSSEC AO HCL 2005;;
21447 CS CRTH TRAITEMENT DES HEMOPHILES;;
21448 CTR REF SDMAPRGRE;;
21449 CS HEPATO GASTRO ENTERO L;;
21450 BM SUBSTITUTS CUTANES;;
21451 CS CTR REF ANGIOEDEMES A KININES CREAK 3;;
21452 CS PLATEFORME ACCUEIL SOINS DES SOURDS;;
21453 CS EDUC THERAP PETALYAE ANGIOEDEME;;
21454 BO INCA HGE MINI ENDOSCOPIE;;
21456 RX ECHOGRAPHIE DOPPLER P;;
21457 CS EDUC THERAPUE VIH BC;;
21458 RX MEDECINE NUCLEAIRE HEMATO B;;
21459 BM PHARMACOCINETIQUE CLINIQUE;;
21460 RX VASCULAIRE INTERV G;;
21461 RX ECHO DOPPLER GH;;
21462 BM RECUEIL SUPPLEMENTS FORFAITS;;
21463 RX RADIOLOGIE B;;
21465 RX RADIO MOBILE HEH;;
21466 CS CARDIO PAV E;;
21467 RM LINA AO HCL 2005;;
21468 HJ U.COMMUNE CLIMA R;;
21469 RX RADIOLOGIE PAV.P;;
21471 BM HEMOSTASE;;
21472 RX RADIOLOGIE BLOC HEH;;
21473 RX VASCULAIRE INTERVENTIONNELLE H;;
21474 RX RADIO MOBILE TU;;
21475 RX RADIOLOGIE TU;;
21477 RADIOLOGIE PAV G;;
21479 CS PHYSIOTHERAPIE CLIMA R;;
21480 HJ ORTHOGENIE K RDC;;
21481 RX RADIOLOGIE PAV H;;
21482 BM BIO MOLECULAIRE ET DIAG ANTENATAL;;
21483 CS EDUC THERAP ENDOCRINO CLIMA R;;
21484 RM DAVID JEAN STEPHANE AO HCL 2004;;
21485 RM D03882 LAVILLE AP HP;;
21486 CS ORTHOGENIE K RDC;;
21487 RM D03586 HEYER MINISTERE DE LA RECHERCHE;;
21488 CS CONSULTATION AMBULATOIRE PSYCHIATRIQUE;;
21489 BM MALADIE RARE BIOLOGIE GENETIQUE;;
21490 BM MALADIE RARE BIOLOGIE GENETIQUE;;
21491 BM MALADIE RARE BIOLOGIE GENETIQUE;;
21492 RM CHAMBRIER VANHEMS AOHCL06 ACT INCITATIVE;;
21493 RM EDERY AO HCL 06 ACTIONS INCITATIVES;;
21494 RM EL JAAFARI CORBIN AOHCL06 ACTION INCITAT;;
21495 RM JULLIEN AO HCL 06 ACTIONS INCITATIVES;;
21496 RX SCANNER INTERV;;
21497 CS EDUC THERAPUE HEMOPHILIE E;;
21498 CS CPEF K RDC;;
21499 RM VAZ AO HCL 06 ACTIONS INCITATIVES;;
21500 MT SALLE TECHNIQUE ORTHOGENIE K RDC;;
21501 CS STOMATO R S SOL;;
21502 CS OPH C;;
21503 CS DERMATO INTERVENTIONNELLE CLIMA R;;
21505 CS MOBILE TOXIDERMIES PAV R;;
21506 SECTEUR REEDUCATION;;
21507 CS RHUMATO CLIMA PAV F;;
21508 CS HEMATO E;;
21509 CS UROLOGIE INTERVENTIONNELLE V;;
21510 CS SPEC MEDECINE INTERNE N;;
21512 MT HYGIENE ET EPIDEMIOLOGIE HEH;;
21514 CS DE NUTRITION ARTIFICIELLE P;;
21516 MT UPCP;;
21517 CS MEDECINE VASCULAIRE PAV F;;
21518 CS PSYCHIATRIE DE LIAISON N;;
21519 CS NEUROLOGIE M;;
21520 CS CHIR PROCTOLOGIE PAV V;;
21521 CS DE TRAUMATOLOGIE;;
21522 CS DERMATO CLIMA R;;
21525 CS CIDAG DEPISTAGE ANONYME GRATUIT K;;
21526 CS HEMOSTASE E;;
21529 CS MED DU SPORT ACTIVITE PHYSIQUE A;;
21530 MT EXPLORATIONS OROFACIALES;;
21531 CS PAV K;;
21532 CS ENDOCRINOLOGIE CLIMA R;;
21534 CS ORL U;;
21535 CS IST HEH K;;
21536 MT CESSIONS EXTERNES;;
21537 CS SMA SUITE DE SOINS;;
21538 CS EDUC THERAP NEPHRO CLIMA R;;
21539 CS CARDIO PAV F;;
21540 CS PNEUMO M;;
21542 CS UROLOGIE V;;
21543 CS EDUC THERAP TRANSPLANT CLIMA R;;
21544 CS SANTE AU TRAVAIL HEH;;
21545 CS UNITE MEDICO JUDICIAIRE F RDC;;
21546 CS BRULES I;;
21547 MT EXPLORATION VASCULAIRE PAV F;;
21548 CS MED LEGALE N;;
21549 CHIRURGIE VASCULAIRE PAV C2;;
21550 CS MEDECINE INTERNE CLIMA R;;
21551 AU ACCUEIL URGENCES MEDICALES PAV G;;
21553 AU URGENCE MEDICO PSYCHOLOGIQUE;;
21554 CS CHIR VASCULAIRE PAV F;;
21555 SMA URGENCES;;
21556 CS ANTI TABAC;;
21558 MT SALLE TECHNIQUE N REA MEDICALE;;
21559 PASS DENTAIRE;;
21560 CS CHIR DIGESTIVE ET GLE L;;
21561 MT SOINS EXTERNES MEDECINE HYPERBARE;;
21562 MT KINESITHERAPIE SECTEUR 2;;
21563 MT KINESITHERAPIE SECTEUR 3;;
21564 CS PSYCHIATRIE D URGENCE;;
21565 CS SUITE DE SOINS TRAUMATOLOGIQUES PAV T;;
21566 MT A L L P;;
21567 EXPLORATION CARDIO PAV F;;
21568 CS ORTHOPEDIE T;;
21569 BO ENDOSCOPIE DIGESTIVE L SSOL;;
21570 DGOS INCA 2012 HGE;;
21571 MT SOLUTES MASSIFS;;
21572 BO ENDOSCOPIE DIGESTIVE L1;;
21574 RX MEDECINE NUCLEAIRE SCINTIGRAPHIE B;;
21575 MT E E G;;
21576 MT ELECTROMYOGRAPHIE N;;
21577 BM CNR HEMOPHILIE ET AUTRES HEMORRAGIES;;
21578 RX MED NUCLEAIRE THERAPEUTIQUE HEH;;
21579 CS TRAUMATOLOGIE VICTIMOLOGIE;;
21580 MT ESSAIS CLINIQUES;;
21581 CS NEPHROLOGIE CLIMA PAV P;;
21582 CS SOINS ACCOMPAGN PREVENT ADDICTO K;;
21583 MT EXPLO DIGESTIVE L SOUS-S;;
21584 CS - BPT TRANSPLANT R;;
21585 BM PHYSIOLOGIE RENALE;;
21586 EXPLO FONCT VASCULAIRE;;
21587 MT EPIDEMIO BIOMARQUEUR DE L INFECTION;;
21590 MT FABRICATION PROD PHARMACEUTIQUE;;
21591 MT PHARMACIE MEDICAMENTS;;
21592 CS MISSION SANTE PUBLIQUE EN CSG;;
21593 MT CAMSP CTLE ACHAT MATER STERILE PANSEMENT;;
21595 CS INCA EMG PROLOG ONCOGERIATRIE;;
21596 RX RADIO MOBILE P;;
